SIN,nmol_T_g,nmol_T_g_dw_corrected,nmol_T_egg,g_egg,pct_moisture,pct_lipid_wet,year,site,group,WH_hatchery_id,USGS_id
RARA23_152,8.060467166,NA,0.712041108,0.088333333,NA,NA,2023,RARA,Transit,NA,NA
RARA23_161,9.309234018,19.13856987,0.797027999,0.085857143,51.35877925,19.55739927,2023,RARA,Transit,NA,NA
RARA23_163,9.321378054,19.68917863,1.359854816,0.145866667,52.65735444,17.08028106,2023,RARA,Transit,NA,NA
RARA23_165,8.473478044,18.55371882,1.019241178,0.12775,54.33002878,15.74042365,2023,RARA,Transit,NA,NA
RARA23_170,10.37072618,22.41272129,1.327864051,0.120714286,53.72839358,16.40313737,2023,RARA,Transit,NA,NA
RARA23_175,12.12796717,27.96427304,1.525404969,0.12575,56.63049364,16.61069548,2023,RARA,Transit,NA,NA
RARA23_176,9.797133056,20.64215064,1.067579488,0.109708333,52.53821547,17.30760485,2023,RARA,Transit,NA,NA
Salcha_236,7.910135927,18.97335793,1.849504894,0.234,58.30924628,12.92443879,2023,Salcha,Spawning,NA,NA
Salcha_239,5.060039111,16.1486123,1.29884911,0.258333333,68.66579606,11.06446345,2023,Salcha,Spawning,NA,NA
Salcha_243,3.546119645,11.34876952,0.83180457,0.2345,68.75326758,12.04863273,2023,Salcha,Spawning,NA,NA
Salcha_275,6.45606183,16.75340105,1.370440211,0.2125,61.46417191,11.20559039,2023,Salcha,Spawning,NA,NA
Salcha_291,4.21081067,12.74454398,0.881112133,0.188125,66.95989534,12.19214883,2023,Salcha,Spawning,NA,NA
PIST23_145,NA,NA,NA,NA,56.56186383,17.20153069,2023,PIST,Entry,NA,NA
PIST23_031,NA,NA,NA,NA,56.45391107,19.22839392,2023,PIST,Entry,NA,NA
PIST23_001,NA,NA,NA,NA,61.75670069,16.33905015,2023,PIST,Entry,NA,NA
Chena_02,NA,NA,NA,NA,64.35322172,15.13149858,2023,Chena,Spawning,NA,NA
Chena_4,NA,NA,NA,NA,66.4381446,9.281145446,2023,Chena,Spawning,NA,NA
Salcha_229,NA,NA,NA,NA,71.70283806,5.837079943,2023,Salcha,Spawning,NA,NA
