ID,Site,Species,Date,Samplers,Fish Death Time,Blood Drawing Time,Harvest Gear Type,Latitude (N),Longitude (W),Fish ID,specimen_ID,Blood Vial Num,Muscle Vial Num (Vanessa),Muscle Bag Num (PSP - Bruce),Scale Card Num,Pelvic Fin Card,Adipose Fin,Length Mideye Fork (mm),Length Nose Fork (mm),Ich Visual Positive,Ich Visual Count,Photo Taken,Heart Vial Num qPCR,Heart Vial Num Histo,Liver Bag Num,Kidney Bag Num,Egg Vial 1 Num,Egg Vial 2 Num,Digestive Track Bag Num,Sex,Notes,Blood Notes at Fort Yukon
50,Rapids,Chinook,7/12/2023,"Scott T. Walter, Woods Nystedt",10:19 AM,10:21 AM,Fish Wheel,65.338488,-151.065382,60,60-R,60,60,,009-3,77579-3,Yes,676,733,No,0,Yes,60,60,,,,,,Male,Several long healed scars on both sides,
51,Rapids,Chinook,7/12/2023,"Scott T. Walter, Woods Nystedt",10:25 AM,10:28 AM,Fish Wheel,65.338488,-151.065382,61,61-R,61,61,,009-4,77579-4,Yes,465,505,Yes,40,Yes,61,61,,,,,,Male,"Yes, small male Jack",
52,Rapids,Chinook,7/12/2023,"Scott T. Walter, Woods Nystedt",10:44 AM,10:45 AM,Fish Wheel,65.338488,-151.065382,62,62-R,62,62,,009-5,77579-5,No,620,674,No,0,Yes,62,62,,,,,,Male,"Mostly missing adipose fin is in question whether it was partially tore off or if it is a mis-clip from the hatchery. It is recorded as NO adipose fin in the column, but is up for debate. Photos are available from Scott T. Walter.",
53,Rapids,Chinook,7/12/2023,"Scott T. Walter, Woods Nystedt",11:00 AM,11:09 AM,Fish Wheel,65.338488,-151.065382,63,63-R,63,63,,009-6,77579-6,Yes,547,603,No,0,Yes,63,63,,,,,,Male,-,
54,Rapids,Chinook,7/12/2023,"Scott T. Walter, Woods Nystedt",11:38 AM,11:55 AM,Fish Wheel,65.338488,-151.065382,64,64-R,64,64,,009-7,77579-7,Yes,826,909,No,0,Yes,64,64,,,,,,Male,-,
55,Rapids,Chinook,7/12/2023,"Scott T. Walter, Woods Nystedt",11:42 AM,11:58 AM,Fish Wheel,65.338488,-151.065382,65,65-R,65,65,,009-8,77579-8,Yes,606,662,Yes,175,Yes,65,65,,,,,,Male,"1 quarter-sized lesion, 4"" long by 1"" wide gash on side",
56,Rapids,Chinook,7/12/2023,"Scott T. Walter, Woods Nystedt",11:42 AM,12:03 PM,Fish Wheel,65.338488,-151.065382,66,66-R,66,66,,009-9,77579-9,Yes,635,706,Yes,2,Yes,66,66,,,,,,Male,-,
58,Rapids,Chinook,7/2/2023,"Scott T. Walter, Woods Nystedt",11:42 AM,12:07 PM,Fish Wheel,65.338488,-151.065382,1,1-R,1,1,,001-1,77581-1,Yes,728,800,Yes,3,Yes,1,1,,,,,,Male,-,
59,Rapids,Chinook,7/2/2023,"Scott T. Walter, Woods Nystedt",11:50 AM,12:11 PM,Fish Wheel,65.338488,-151.065382,2,2-R,2,2,,001-2,77581-2,Yes,634,691,Yes,10,Yes,2,2,,,,,,Male,-,
60,Rapids,Chinook,7/3/2023,"Scott T. Walter, Woods Nystedt",9:01 AM,9:04 AM,Fish Wheel,65.338488,-151.065382,3,3-R,3,3,,002-1,77589-1,Yes,706,773,Yes,32,Yes,3,3,,,,,,Male,1 lesion size of a quarter,
64,Rapids,Chinook,7/4/2023,"Scott T. Walter, Woods Nystedt",9:28 AM,9:30 AM,Fish Wheel,65.338488,-151.065382,7,7-R,7,7,,003-2,77593-2,Yes,681,750,Yes,34,Yes,7,7,,,,,,Male,-,
65,Rapids,Chinook,7/4/2023,"Scott T. Walter, Woods Nystedt",9:44 AM,9:45 AM,Fish Wheel,65.338488,-151.065382,8,8-R,8,8,,003-3,77593-3,Yes,605,657,Yes,4,Yes,8,8,,,,,,Male,-,
67,Rapids,Chinook,7/4/2023,"Scott T. Walter, Woods Nystedt",9:59 AM,10:01 AM,Fish Wheel,65.338488,-151.065382,10,10-R,10,10,,003-5,77593-5,Yes,820,896,No,0,Yes,10,10,,,,,,Male,-,
68,Rapids,Chinook,7/13/2023,"Scott T. Walter, Woods Nystedt",10:06 AM,10:08 AM,Fish Wheel,65.338488,-151.065382,68,68-R,68,68,,010-1,77587-1,Yes,627,687,Yes,50,Yes,68,68,,,,,,Male,-,
69,Rapids,Chinook,7/13/2023,"Scott T. Walter, Woods Nystedt",10:12 AM,10:14 AM,Fish Wheel,65.338488,-151.065382,69,69-R,69,69,,010-2,77587-2,Yes,790,861,Yes,1100,Yes,69,69,,,,,,Male,Yes - mega amounts of spots. 1100 may be an underestimate,
70,Rapids,Chinook,7/13/2023,"Scott T. Walter, Woods Nystedt",11:35 AM,11:56 AM,Fish Wheel,65.338488,-151.065382,70,70-R,70,70,,010-3,77587-3,Yes,677,730,No,0,Yes,70,70,,,,,,Male,1 quarter-sized lesion,
71,Rapids,Chinook,7/13/2023,"Scott T. Walter, Woods Nystedt",11:35 AM,12:00 PM,Fish Wheel,65.338488,-151.065382,71,71-R,71,71,,010-4,77587-4,Yes,680,744,No,0,Yes,71,71,,,,,,Male,-,
72,Rapids,Chinook,7/13/2023,"Scott T. Walter, Woods Nystedt",11:35 AM,12:02 PM,Fish Wheel,65.338488,-151.065382,72,72-R,72,72,,010-5,77587-5,Yes,648,709,Yes,106,Yes,72,72,,,,,,Male,-,
74,Rapids,Chinook,7/13/2023,"Scott T. Walter, Woods Nystedt",12:45 PM,1:05 PM,Fish Wheel,65.338488,-151.065382,74,74-R,74,74,,010-7,77587-7,Yes,729,804,Yes,34,Yes,74,74,,,,,,Male,"Very red skin. Adipose is cut, but intact. Probably not hatchery fish.",
75,Rapids,Chinook,7/13/2023,"Scott T. Walter, Woods Nystedt",12:58 PM,1:20 PM,Fish Wheel,65.338488,-151.065382,75,75-R,75,75,,010-8,77587-8,Yes,604,662,Yes,150,Yes,75,75,,,,,,Male,Large white something in middle of heart when cut - maybe parasite?,
76,Rapids,Chinook,7/13/2023,"Scott T. Walter, Woods Nystedt",1:25 PM,1:27 PM,Fish Wheel,65.338488,-151.065382,76,76-R,76,76,,010-9,77587-9,Yes,687,755,No,0,Yes,76,76,,,,,,Male,-,
77,Rapids,Chinook,7/13/2023,"Scott T. Walter, Woods Nystedt",1:25 PM,1:31 PM,Fish Wheel,65.338488,-151.065382,77,77-R,77,77,,010-10,77587-10,Yes,674,742,Yes,8,Yes,77,77,,,,,,Male,-,
