SIN,nmol_T_g,nmol_T_g_dw_corrected,nmol_T_egg,g_egg,pct_moisture,pct_lipid_wet,year,site,group,pct_dry_matter,pct_lipid_dry,pct_protein_est_dry,lipid_g,water_g,protein_g_est,country,broad_group,fine_group,fish_mass_kg,girth_mm,lat_n,long_w,length_nose_fork_mm,ich_visual_count,ich_visual_positive,collection_date,length_mideye_fork_mm
PIST23_021,9.136419527,20.91559038,0.603005715,0.065484163,0.563176589,0.174967497,2023,PIST,Entry,0.436823411,0.400545148,0.599454852,0.0114576,0.036879148,0.017147415,US,MiddleYukon,Tanana,4.175,404,NA,NA,NA,NA,NA,6/17/2023,627
PIST23_024,9.742702066,27.774485,0.728874648,0.07522619,0.649221144,0.151846671,2023,PIST,Entry,0.350778856,0.432884334,0.567115666,0.011422847,0.048838433,0.01496491,Canada,Canada,Canada,6.42,471,NA,NA,NA,NA,NA,6/17/2023,735
PIST23_026,8.242762209,18.02823882,0.64637714,0.07925,0.542786054,0.201160375,2023,PIST,Entry,0.457213946,0.439969901,0.560030099,0.01594196,0.043015795,0.020292246,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/17/2023,727
PIST23_041,13.18176937,30.23771283,1.20044213,0.090791667,0.564061957,0.198986269,2023,PIST,Entry,0.435938043,0.456455389,0.543544611,0.018066295,0.051212125,0.021513247,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/18/2023,686
PIST23_042,11.85025734,28.51725026,0.808726166,0.068318182,0.584453016,0.187024932,2023,PIST,Entry,0.415546984,0.45006928,0.54993072,0.012777203,0.039928767,0.015612211,US,MiddleYukon,Tanana,3.94,385,NA,NA,NA,NA,NA,6/18/2023,686
PIST23_043,8.324695219,19.58203901,0.557309544,0.067133333,0.574881083,0.210959568,2023,PIST,Entry,0.425118917,0.496236604,0.503763396,0.014162419,0.038593683,0.014377231,US,MiddleYukon,Tanana,NA,NA,NA,NA,NA,NA,NA,6/18/2023,611
PIST23_050,10.48809521,24.53927995,0.964886329,0.091883333,0.572599716,0.185148453,2023,PIST,Entry,0.427400284,0.433196841,0.566803159,0.017012057,0.052612371,0.022258906,US,MiddleYukon,Tanana,4.7,419,NA,NA,NA,NA,NA,6/18/2023,670
PIST23_052,15.31902301,34.41487412,0.919747766,0.059849206,0.554872031,0.211843512,2023,PIST,Entry,0.445127969,0.475915976,0.524084024,0.012678666,0.033208651,0.01396189,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/18/2023,614
PIST23_055,9.895914239,22.3927767,0.463490443,0.046842222,0.558075607,0.18554706,2023,PIST,Entry,0.441924393,0.419861549,0.580138451,0.008691437,0.026141502,0.012009284,US,MiddleYukon,Tanana,5.99,452,NA,NA,NA,NA,NA,6/18/2023,754
PIST23_059,14.92679053,38.8654537,1.114417429,0.075142857,0.6159368,0.156621775,2023,PIST,Entry,0.3840632,0.407802087,0.592197913,0.011769008,0.046283251,0.017090599,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/18/2023,763
PIST23_064,12.19993782,27.00428669,NA,NA,0.548222178,0.251469406,2023,PIST,Entry,0.451777822,0.556621847,0.443378153,NA,NA,NA,US,LowerYukon,LowerYukon,NA,NA,NA,NA,NA,NA,NA,6/19/2023,670
PIST23_071,13.05986217,31.1990016,0.477027183,0.036592857,0.581401279,0.210380946,2023,PIST,Entry,0.418598721,0.502583823,0.497416177,0.00769844,0.021275134,0.007619283,US,MiddleYukon,Tanana,NA,NA,NA,NA,NA,NA,NA,6/19/2023,640
PIST23_072,8.11395486,18.30604734,0.626515892,0.077709091,0.556760959,0.189970276,2023,PIST,Entry,0.443239041,0.428595541,0.571404459,0.014762417,0.043265388,0.019681285,US,LowerYukon,LowerYukon,NA,NA,NA,NA,NA,NA,NA,6/19/2023,695
PIST23_074,10.52062227,25.06139009,0.40256955,0.038410714,0.580205957,0.205898486,2023,PIST,Entry,0.419794043,0.490475006,0.509524994,0.007908708,0.022286125,0.008215881,US,LowerYukon,LowerYukon,6.32,466,NA,NA,NA,NA,NA,6/19/2023,746
PIST23_076,11.25059192,25.4731347,0.846099922,0.075115152,0.558335004,0.201141925,2023,PIST,Entry,0.441664996,0.455417403,0.544582597,0.015108806,0.041939418,0.018066927,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/19/2023,841
PIST23_080,11.73679326,27.35237053,0.889157847,0.07575,0.570903983,0.17817882,2023,PIST,Entry,0.429096017,0.415242306,0.584757694,0.013497046,0.043245977,0.019006978,US,LowerYukon,LowerYukon,6.92,472,NA,NA,NA,NA,NA,6/19/2023,794
PIST23_085,12.8527379,29.69847056,0.847658533,0.065958333,0.567225596,0.191677619,2023,PIST,Entry,0.432774404,0.44290424,0.55709576,0.012642736,0.037413255,0.015902342,US,LowerYukon,LowerYukon,NA,NA,NA,NA,NA,NA,NA,6/20/2023,684
PIST23_086,9.120157778,20.90848805,0.85691715,0.0935,0.563805965,0.167615966,2023,PIST,Entry,0.436194035,0.384269275,0.615730725,0.015672093,0.052715858,0.02511205,Canada,Canada,Canada,5.655,432,NA,NA,NA,NA,NA,6/20/2023,730
PIST23_089,9.423919968,21.89086961,0.958311897,0.102375,0.569504541,0.170606198,2023,PIST,Entry,0.430495459,0.396301969,0.603698031,0.01746581,0.058303027,0.026606163,US,MiddleYukon,Tanana,NA,NA,NA,NA,NA,NA,NA,6/20/2023,770
PIST23_091,19.91783648,44.61988671,0.813403404,0.04084375,0.553610779,0.190456531,2023,PIST,Entry,0.446389221,0.426660238,0.573339762,0.007778959,0.02261154,0.010453251,US,MiddleYukon,Koyukuk,4.075,394,NA,NA,NA,NA,NA,6/20/2023,688
PIST23_092,14.15110092,32.64119581,0.709500512,0.050633333,0.566464997,0.223024301,2023,PIST,Entry,0.433535003,0.514432052,0.485567948,0.011292464,0.028682011,0.010658859,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/20/2023,820
PIST23_093,15.87122425,36.31006516,0.759664485,0.047760417,0.56289739,0.175149315,2023,PIST,Entry,0.43710261,0.400705259,0.599294741,0.008365204,0.026884214,0.012510999,US,MiddleYukon,UpperUS,5.85,460,NA,NA,NA,NA,NA,6/20/2023,704
PIST23_094,14.44438724,30.45683176,1.489681177,0.104258929,0.525742292,0.23656031,2023,PIST,Entry,0.474257708,0.498801192,0.501198808,0.024663524,0.054813328,0.024782076,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/20/2023,700
PIST23_096,10.88874936,25.33029678,0.982071092,0.090410714,0.57012942,0.210802114,2023,PIST,Entry,0.42987058,0.490385069,0.509614931,0.01905877,0.051545808,0.019806136,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/21/2023,740
PIST23_102,13.77256024,30.04204415,1.049082965,0.076242308,0.541557153,0.214913084,2023,PIST,Entry,0.458442847,0.468789262,0.531210738,0.016385469,0.041289567,0.018567271,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/21/2023,730
PIST23_104,15.2091972,36.07601555,1.177548199,0.077613636,0.5784125,0.178320176,2023,PIST,Entry,0.4215875,0.42297311,0.57702689,0.013840077,0.044892697,0.018880862,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/21/2023,693
PIST23_105,7.988740852,18.28111642,0.462661619,0.058528846,0.563005854,0.194243895,2023,PIST,Entry,0.436994146,0.444499994,0.555500006,0.011368871,0.032952083,0.014207892,Canada,Canada,Canada,4.91,424,NA,NA,NA,NA,NA,6/21/2023,694
PIST23_107,12.0428725,27.78523227,1.685475301,0.1401,0.566572905,0.18459129,2023,PIST,Entry,0.433427095,0.425887749,0.574112251,0.02586124,0.079376864,0.034861896,Canada,Canada,Canada,3.33,378,NA,NA,NA,NA,NA,6/21/2023,600
PIST23_110,16.5705112,38.06774781,1.049679772,0.063323232,0.564709967,0.204808017,2023,PIST,Entry,0.435290033,0.470509318,0.529490682,0.012969106,0.03575926,0.014594866,Canada,Canada,Canada,5.415,433,NA,NA,NA,NA,NA,6/22/2023,715
PIST23_112,9.132659647,20.4749209,1.53517036,0.168933333,0.553958734,0.195688379,2023,PIST,Entry,0.446041266,0.438722588,0.561277412,0.03305829,0.093582095,0.042292948,US,LowerYukon,LowerYukon,4.99,412,NA,NA,NA,NA,NA,6/22/2023,700
PIST23_113,16.9604237,36.40236779,1.3438299,0.07905,0.534084601,0.237154764,2023,PIST,Entry,0.465915399,0.509008212,0.490991788,0.018747084,0.042219388,0.018083528,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/22/2023,708
PIST23_114,14.02583924,32.64160428,0.626726425,0.04455,0.570307908,0.217911038,2023,PIST,Entry,0.429692092,0.507132995,0.492867005,0.009707937,0.025407217,0.009434846,US,MiddleYukon,UpperUS,NA,NA,NA,NA,NA,NA,NA,6/22/2023,677
PIST23_116,18.12397767,40.06398788,NA,NA,0.547624222,0.157637057,2023,PIST,Entry,0.452375778,0.348464848,0.651535152,NA,NA,NA,US,LowerYukon,LowerYukon,NA,NA,NA,NA,NA,NA,NA,6/22/2023,683
PIST23_122,16.44491427,35.75543111,NA,NA,0.54007227,0.211381397,2023,PIST,Entry,0.45992773,0.459596983,0.540403017,NA,NA,NA,US,MiddleYukon,Tanana,NA,NA,NA,NA,NA,NA,NA,6/23/2023,840
PIST23_130,13.10346193,32.22167619,1.010928132,0.077979167,0.593333945,0.185757535,2023,PIST,Entry,0.406666055,0.456781511,0.543218489,0.014485218,0.046267687,0.017226262,US,MiddleYukon,Tanana,NA,NA,NA,NA,NA,NA,NA,6/23/2023,688
PIST23_131,14.1063694,32.35439702,1.593534218,0.111688889,0.564004565,0.206173062,2023,PIST,Entry,0.435995435,0.472878946,0.527121054,0.02302724,0.062993043,0.025668605,US,MiddleYukon,Koyukuk,NA,NA,NA,NA,NA,NA,NA,6/23/2023,719
PIST23_132,18.04582211,40.96255069,1.078116685,0.059972222,0.559455605,0.159733788,2023,PIST,Entry,0.440544395,0.362582727,0.637417273,0.00957959,0.033551796,0.016840836,Canada,Canada,Canada,5.83,446,NA,NA,NA,NA,NA,6/23/2023,720
PIST23_134,12.96778664,30.36821065,0.851712379,0.065683333,0.572981537,0.199571465,2023,PIST,Entry,0.427018463,0.467360271,0.532639729,0.013108519,0.037635337,0.014939477,Canada,Canada,Canada,7.05,454,NA,NA,NA,NA,NA,6/23/2023,819
PIST23_135,12.19935181,28.00043242,0.717543745,0.058961538,0.564315592,0.174761514,2023,PIST,Entry,0.435684408,0.401119506,0.598880494,0.010304208,0.033272916,0.015384415,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/24/2023,860
PIST23_140,12.3887898,28.53417673,0.765247886,0.062375,0.565826275,0.22497188,2023,PIST,Entry,0.434173725,0.518160974,0.481839026,0.014032621,0.035293414,0.013048965,Canada,Canada,Canada,NA,NA,NA,NA,NA,NA,NA,6/24/2023,752
PIST23_142,10.70000474,24.50982284,1.609779382,0.149770833,0.563440144,0.181004985,2023,PIST,Entry,0.436559856,0.41461665,0.58538335,0.027109267,0.0843869,0.038274666,US,MiddleYukon,UpperUS,4.23,404,NA,NA,NA,NA,NA,6/25/2023,645
PIST23_143,12.84179765,29.44067745,1.003398624,0.078218939,0.563807672,0.19922431,2023,PIST,Entry,0.436192328,0.456735015,0.543264985,0.015583114,0.044100438,0.018535387,US,No Assignment,No Assignment,NA,NA,NA,NA,NA,NA,NA,6/25/2023,562
PIST23_148,9.215291622,19.94097565,1.194072326,0.129642857,0.537871578,0.179617979,2023,PIST,Entry,0.462128422,0.388675463,0.611324537,0.023286188,0.069731208,0.036625461,US,LowerYukon,LowerYukon,NA,NA,NA,NA,NA,NA,NA,6/26/2023,680
PIST23_149,16.11950861,NA,1.427224985,0.0885125,NA,NA,2023,PIST,Entry,NA,NA,NA,NA,NA,NA,US,LowerYukon,LowerYukon,NA,NA,NA,NA,NA,NA,NA,6/26/2023,649
PIST23_150,11.11065944,26.09876557,1.209041759,0.108818182,0.574284101,0.161300049,2023,PIST,Entry,0.425715899,0.378891296,0.621108704,0.017552378,0.062492552,0.028773252,US,LowerYukon,LowerYukon,4.705,422,NA,NA,NA,NA,NA,6/26/2023,681
PIST23_152,14.93046085,32.93097923,1.119537785,0.075008333,0.546613517,0.20078281,2023,PIST,Entry,0.453386483,0.442851338,0.557148662,0.015060384,0.041000569,0.01894738,Canada,Canada,Canada,7.98,510,NA,NA,NA,NA,NA,6/26/2023,801
PIST23_154,10.4122075,23.9538364,1.213891036,0.117416667,0.565321925,0.169293658,2023,PIST,Entry,0.434678075,0.389469053,0.610530947,0.019877897,0.066378216,0.031160554,Canada,Canada,Canada,6.895,480,NA,NA,NA,NA,NA,6/27/2023,795
PIST23_155,10.68070706,NA,1.360219042,0.1274,NA,NA,2023,PIST,Entry,NA,NA,NA,NA,NA,NA,US,MiddleYukon,Tanana,NA,NA,NA,NA,NA,NA,NA,6/28/2023,736
RARA23_004,8.695728123,19.01222165,0.807544904,0.092775,0.542624303,0.165861503,2023,RARA,Transit,0.457375697,0.362637334,0.637362666,0.015387801,0.05034197,0.027045229,NA,NA,Canada,NA,NA,65.338488,-151.065382,794,400,TRUE,7/3/2023,728
RARA23_005,9.565638367,20.30943032,1.535367334,0.160242857,0.529005087,0.169785819,2023,RARA,Transit,0.470994913,0.360483338,0.639516662,0.027206965,0.084769287,0.048266606,NA,NA,Canada,NA,NA,65.338488,-151.065382,930,47,TRUE,7/3/2023,853
RARA23_006,9.484275869,20.24453002,1.118668915,0.118555556,0.531514149,0.22159248,2023,RARA,Transit,0.468485851,0.472997166,0.527002834,0.02627102,0.063013955,0.029270581,NA,NA,Canada,NA,NA,65.338488,-151.065382,838,0,FALSE,7/4/2023,779
RARA23_009,9.670610283,20.68611055,0.536355835,0.05735,0.532507077,0.204508161,2023,RARA,Transit,0.467492923,0.437457234,0.562542766,0.011728543,0.030539281,0.015082176,NA,NA,Canada,NA,NA,65.338488,-151.065382,850,0,FALSE,7/4/2023,792
RARA23_011,12.76598826,26.69938517,1.449058399,0.113471429,0.521862089,0.207162626,2023,RARA,Transit,0.478137911,0.43326961,0.56673039,0.023507039,0.059216437,0.030747953,NA,NA,Canada,NA,NA,65.338488,-151.065382,918,0,FALSE,7/4/2023,854
RARA23_015,6.73522585,14.91588651,0.764793883,0.11325,0.548452863,0.158504132,2023,RARA,Transit,0.451547137,0.351024552,0.648975448,0.017950593,0.062112287,0.03318712,NA,NA,Canada,NA,NA,65.338488,-151.065382,842,0,FALSE,7/5/2023,782
RARA23_016,8.962355791,19.35471513,1.347526258,0.150375,0.536941994,0.166541119,2023,RARA,Transit,0.463058006,0.359654983,0.640345017,0.025043621,0.080742652,0.044588727,NA,NA,Canada,NA,NA,65.338488,-151.065382,970,0,FALSE,7/5/2023,913
RARA23_017,9.524815672,22.03958825,0.993133701,0.1045,0.567831506,0.209053643,2023,RARA,Transit,0.432168494,0.483731799,0.516268201,0.021846106,0.059338392,0.023315502,NA,NA,Canada,NA,NA,65.338488,-151.065382,857,0,FALSE,7/5/2023,800
RARA23_023,10.09851338,23.46895373,1.047225226,0.103777778,0.569707559,0.219798898,2023,RARA,Transit,0.430292441,0.510812828,0.489187172,0.022810241,0.059122984,0.021844552,NA,NA,Canada,NA,NA,65.338488,-151.065382,871,0,FALSE,7/6/2023,810
RARA23_024,4.92935919,10.84708963,0.632975508,0.128355556,0.545559283,0.219803731,2023,RARA,Transit,0.454440717,0.483679659,0.516320341,0.02821303,0.070025565,0.030116961,NA,NA,Canada,NA,NA,65.338488,-151.065382,906,300,TRUE,7/6/2023,847
RARA23_032,5.015694925,11.81184338,0.503072515,0.102297619,0.575367302,0.177827266,2023,RARA,Transit,0.424632698,0.418779021,0.581220979,0.018191306,0.058858705,0.025247608,NA,NA,Canada,NA,NA,65.338488,-151.065382,839,13,TRUE,7/7/2023,786
RARA23_034,8.716961084,NA,0.924814914,0.10505,NA,NA,2023,RARA,Transit,NA,NA,NA,NA,NA,NA,NA,NA,Canada,NA,NA,65.338488,-151.065382,743,76,TRUE,7/7/2023,690
